GCVI_max,-1.74983791841521
GCVI_mean,-0.453756087659672
GCVI_min,-0.279698956385677
GCVI_std,2.18709668771635
MTI,-0.0470437459923999
NDBI_max,2.03328106186601
NDBI_mean,5.1577660527354
NDBI_min,-1.75294936977052
NDVI_max,-9.33804548101529
NDVI_mean,38.0635433750683
NDVI_min,-13.0004451356202
NDVI_std,15.0804520135351
NDWBI_max,-1.83073743458333
NDWBI_mean,11.0253204453457
NDWBI_min,5.49864058554728
NDWI_max,1.75294936977053
NDWI_mean,-5.15776575196339
NDWI_min,-2.03328106186595
NDWI_std,-8.57279554862145
WGI_max,1.07070951971938
WGI_mean,-3.23747211941176
WGI_min,-11.9615662809446
WGI_std,5.70038550404829
blue,0.00109186606252499
green,-0.00375885453281817
nir,-0.00233624890821703
red,0.00630181073102752
slope,0.00959453332042572
swir1,-0.000510953436183247
intercept,2.59273891430734
